time,Ri_Fx_Mi,Ri_Fy_Mi,Ri_Fz_Mi,Ri_rx_MiMj,Ri_ry_MiMj,Ri_rz_MiMj,Ri_vx_MiMj,Ri_vy_MiMj,Ri_vz_MiMj,k,c,sigma0,sigma1,sigma2,alpha,mu_s,mu_c,v_s,z,der(z)
0.6700000000000004,-nan,-nan,-nan,0,0,0,0,0,0,50,50,0.01,0.01,0.1,1,0.6,0.43,1,-nan,-nan
0.6800000000000004,-nan,-nan,-nan,0,0,0,0,0,0,50,50,0.01,0.01,0.1,1,0.6,0.43,1,-nan,-nan
0.6900000000000004,-nan,-nan,-nan,0,0,0,0,0,0,50,50,0.01,0.01,0.1,1,0.6,0.43,1,-nan,-nan
0.7000000000000004,-nan,-nan,-nan,0,0,0,0,0,0,50,50,0.01,0.01,0.1,1,0.6,0.43,1,-nan,-nan
0.7100000000000004,-nan,-nan,-nan,0,0,0,0,0,0,50,50,0.01,0.01,0.1,1,0.6,0.43,1,-nan,-nan
0.7200000000000004,-nan,-nan,-nan,0,0,0,0,0,0,50,50,0.01,0.01,0.1,1,0.6,0.43,1,-nan,-nan
0.7300000000000004,-nan,-nan,-nan,0,0,0,0,0,0,50,50,0.01,0.01,0.1,1,0.6,0.43,1,-nan,-nan
0.7400000000000004,-nan,-nan,-nan,0,0,0,0,0,0,50,50,0.01,0.01,0.1,1,0.6,0.43,1,-nan,-nan
0.7500000000000004,-nan,-nan,-nan,0,0,0,0,0,0,50,50,0.01,0.01,0.1,1,0.6,0.43,1,-nan,-nan
0.7600000000000005,-nan,-nan,-nan,0,0,0,0,0,0,50,50,0.01,0.01,0.1,1,0.6,0.43,1,-nan,-nan
0.7700000000000005,-nan,-nan,-nan,0,0,0,0,0,0,50,50,0.01,0.01,0.1,1,0.6,0.43,1,-nan,-nan
0.7800000000000005,-nan,-nan,-nan,0,0,0,0,0,0,50,50,0.01,0.01,0.1,1,0.6,0.43,1,-nan,-nan
0.7900000000000005,-nan,-nan,-nan,0,0,0,0,0,0,50,50,0.01,0.01,0.1,1,0.6,0.43,1,-nan,-nan
0.8000000000000005,-nan,-nan,-nan,0,0,0,0,0,0,50,50,0.01,0.01,0.1,1,0.6,0.43,1,-nan,-nan
0.8100000000000005,-nan,-nan,-nan,0,0,0,0,0,0,50,50,0.01,0.01,0.1,1,0.6,0.43,1,-nan,-nan
0.8200000000000005,-nan,-nan,-nan,0,0,0,0,0,0,50,50,0.01,0.01,0.1,1,0.6,0.43,1,-nan,-nan
0.8300000000000005,-nan,-nan,-nan,0,0,0,0,0,0,50,50,0.01,0.01,0.1,1,0.6,0.43,1,-nan,-nan
0.8400000000000005,-nan,-nan,-nan,0,0,0,0,0,0,50,50,0.01,0.01,0.1,1,0.6,0.43,1,-nan,-nan
0.8500000000000005,-nan,-nan,-nan,0,0,0,0,0,0,50,50,0.01,0.01,0.1,1,0.6,0.43,1,-nan,-nan
0.8600000000000005,-nan,-nan,-nan,0,0,0,0,0,0,50,50,0.01,0.01,0.1,1,0.6,0.43,1,-nan,-nan
0.8700000000000006,-nan,-nan,-nan,0,0,0,0,0,0,50,50,0.01,0.01,0.1,1,0.6,0.43,1,-nan,-nan
0.8800000000000006,-nan,-nan,-nan,0,0,0,0,0,0,50,50,0.01,0.01,0.1,1,0.6,0.43,1,-nan,-nan
0.8900000000000006,-nan,-nan,-nan,0,0,0,0,0,0,50,50,0.01,0.01,0.1,1,0.6,0.43,1,-nan,-nan
0.9000000000000006,-nan,-nan,-nan,0,0,0,0,0,0,50,50,0.01,0.01,0.1,1,0.6,0.43,1,-nan,-nan
0.9100000000000006,-nan,-nan,-nan,0,0,0,0,0,0,50,50,0.01,0.01,0.1,1,0.6,0.43,1,-nan,-nan
0.9200000000000006,-nan,-nan,-nan,0,0,0,0,0,0,50,50,0.01,0.01,0.1,1,0.6,0.43,1,-nan,-nan
0.9300000000000006,-nan,-nan,-nan,0,0,0,0,0,0,50,50,0.01,0.01,0.1,1,0.6,0.43,1,-nan,-nan
0.9400000000000006,-nan,-nan,-nan,0,0,0,0,0,0,50,50,0.01,0.01,0.1,1,0.6,0.43,1,-nan,-nan
0.9500000000000006,-nan,-nan,-nan,0,0,0,0,0,0,50,50,0.01,0.01,0.1,1,0.6,0.43,1,-nan,-nan
